scenario,run,PEHE_S-Learner,MAE_S-Learner,ATEerr_S-Learner,PEHE_T-Learner,MAE_T-Learner,ATEerr_T-Learner,PEHE_X-Learner,MAE_X-Learner,ATEerr_X-Learner,PEHE_Causal Forest,MAE_Causal Forest,ATEerr_Causal Forest,PEHE_R-Learner,MAE_R-Learner,ATEerr_R-Learner,PEHE_DR-Learner,MAE_DR-Learner,ATEerr_DR-Learner,PEHE_CaML-OP,MAE_CaML-OP,ATEerr_CaML-OP
1,0,0.12810855595544743,0.1035673494421704,0.0946497541563728,0.3112511535605937,0.2569314855752225,0.11934223242496138,0.25254893044598736,0.2098155109042946,0.10292324033802874,0.16452678179143604,0.13372112840497125,0.0927443204045044,0.3084774640201439,0.241573363647485,0.11801949182014022,0.3467040962470828,0.2652758475254179,0.13007061630331448,0.23053068028378254,0.183005539858746,0.08366025610542938
1,1,0.1034309631869386,0.09600404281476216,0.07958837724210595,0.2510405811166346,0.21284432123668065,0.08662190716256127,0.1966608357123604,0.16194170946235886,0.07833373582397005,0.1626127989716798,0.13763281380072015,0.08629657296984361,0.2957332850329,0.22817150551010862,0.08661121394396296,0.3686378352550511,0.266984020078413,0.04973142477697404,0.21131682926493348,0.17345165393694528,0.11613923758446987
1,2,0.07993512310539064,0.06406002282277444,0.0406378450652227,0.22816548798302974,0.18204753962473866,0.00592682535986408,0.18659337062176934,0.15002599982822137,0.000429254405979157,0.10536162310896859,0.08554570348228484,0.016628830434903152,0.23263079051369664,0.18842206949701817,0.013981758530990096,0.23202183345647442,0.19062972260710823,0.016007229215295696,0.14714844430493887,0.12109860186102295,0.009181976605361547
1,3,0.10073911385521295,0.07818267257404658,0.02413809546362289,0.23366312142525797,0.18997901184742697,0.07614932553104202,0.1732862149578443,0.13900397648037294,0.06318407727702506,0.10556623688549831,0.08827499364952994,0.04118655480659124,0.20889224375487203,0.16537948708560257,0.04599310190889573,0.23293387225165496,0.18501082101970187,0.04195299512659921,0.144175083726881,0.11615037296000304,0.011328943408567549
1,4,0.058505109397460196,0.047571066790443775,0.023545790824501422,0.16269646556270428,0.1356594760783445,0.04145943154352763,0.10507297504195233,0.08896103633232648,0.03611413034859945,0.06240625663400104,0.05204114924310092,0.005997124711674226,0.1925040651619655,0.14902080441867094,0.006213551279090887,0.19138099217098922,0.14914688057871964,0.011749313527166225,0.09795728614032878,0.07254680196127357,0.005133524904572362
1,5,0.10782016959257536,0.09590610009095837,0.05655038119210386,0.21927955699588025,0.17913815303512373,0.040279487328182595,0.14957264693510228,0.11811170341548156,0.02978980837767535,0.08026016124354012,0.0631452491997322,0.015679794482021545,0.22207924035291224,0.16893607452795026,0.03422257414922096,0.24350338794757806,0.18030457605083045,0.009943104602776226,0.13227842960685085,0.09727361552874557,0.02883815093921041
1,6,0.0743803734178338,0.06371163622752822,0.05260554457068506,0.17395541954985685,0.14073284085229476,0.01593809010623326,0.11908634226454705,0.09397906847351473,0.0026357735881749195,0.08986847757263916,0.06337367539659426,0.01321604142891361,0.2199236939577038,0.17376611071348416,0.025508286242105396,0.2288463024858144,0.17723065708104882,0.006126352414083935,0.10676617748407714,0.07984533536048184,0.010519208555975323
1,7,0.157309264610567,0.11371183257448415,0.020295989391093297,0.2418630693546821,0.1987043912778327,0.04837701518071412,0.17963316932492862,0.14405533000188403,0.049404573496855855,0.10496309053704388,0.07800402223672157,0.04737734719819299,0.21613562566574498,0.17783400030509405,0.04326290348245655,0.2426821361427893,0.19158814982738442,0.06102651083031295,0.16619115227448436,0.12561843073340453,0.029018950126385404
1,8,0.08593257322355242,0.07133887332304231,0.0026138014214829863,0.1892867331337226,0.15672396134981728,0.03295825977928091,0.1498156383940607,0.1189978687740437,0.04306267193232266,0.10585480537651246,0.08212325914404808,0.06905503557180886,0.1993643632999639,0.1585632992995958,0.06597210072635223,0.22559700458447673,0.17501860417006904,0.06858028943745764,0.13111720515827877,0.10375364273901103,0.0503405815188851
1,9,0.07556948141348575,0.06516205711428065,0.02654621476978844,0.1807416514001708,0.1465958999366507,0.025407155054634603,0.12332068863281247,0.09998690164575676,0.01077189127248604,0.08183875211051533,0.06161492498860464,0.01349072950266765,0.22428422019675792,0.18073453389557073,0.006590391578796859,0.2456717614303061,0.18343367349065923,0.028832839702878005,0.12997488769269558,0.09773795534920587,0.032305282573763625
2,0,0.13631378314416015,0.10673432802788387,0.03650539721234487,0.28103582274541655,0.23036882036875922,0.06859787387741985,0.22269091203929378,0.17877446249613,0.059500960552521985,0.13642680697305862,0.11106995730862826,0.04731366360851912,0.2712052404861465,0.2100939622801654,0.06403473730776726,0.31222823104401876,0.2355546237001075,0.07520332878065356,0.19935567413611363,0.1551750421228506,0.050644895121193245
2,1,0.08294335054852767,0.06671012779776232,0.031556867835131897,0.23394906322339656,0.20056602449320216,0.038026829235788505,0.21245178158116465,0.17964980332309974,0.02699880702480243,0.15829547508510514,0.13643205369860112,0.04194624259183667,0.293306158602966,0.23152243003035386,0.03426516427695787,0.40173914835056207,0.2852309703970587,0.003567987146880073,0.2045023212699996,0.17289477466870892,0.05341979975864787
2,2,0.09818283582222095,0.07773084664558216,0.007117360622868234,0.23464299585416504,0.19820214119830012,0.00824573298646392,0.16910773593793832,0.14403935056684464,0.020389189974818596,0.12469422117679776,0.10960618507877762,0.020036688811679484,0.20841032295576506,0.16121578406828693,0.03836038353005464,0.21947604377909602,0.17200593606361358,0.03387298526418288,0.1662285959890772,0.13353063182436065,0.00944847332701929
2,3,0.10980383509986999,0.09228188284303196,0.03540290971957226,0.24142674093357863,0.20569945224948555,0.08494157276221541,0.18337902752095275,0.15960716195541194,0.07245233745376367,0.09978570041106899,0.08166222607407854,0.055975528070550826,0.25173365696405386,0.20277859998940603,0.0769978513365413,0.26399221166304593,0.20749479258987225,0.08185469695526333,0.15904164496070353,0.1290646438355605,0.05891935562749366
2,4,0.09432022767461185,0.07025729698282906,0.008986916925927301,0.15849826052218405,0.12671084611052602,0.01149689368700656,0.13048263719735348,0.10826796683186453,0.019304281935286195,0.09904924335352082,0.08108962137264758,0.01655006924278377,0.20955226611945568,0.17002485388609054,0.007847761961025317,0.21828642479635024,0.17742585537841363,0.005472270851019079,0.12690899615558957,0.09105480614412366,0.02286893171987722
2,5,0.09086575429078178,0.06716212112174476,0.028204585349721797,0.2056293441981415,0.15300258197788766,0.0613370418487831,0.12748313871419986,0.10319402279331986,0.06430251741923698,0.0794867901133981,0.0633760357965732,0.05547584849866082,0.20061988829403343,0.15000340410721996,0.07941085923766625,0.21388037911674088,0.1580539672891663,0.06706237431201176,0.1289038483312915,0.0935250547967524,0.03671260381603927
2,6,0.08554255000132391,0.06785828453762324,0.008693141523322293,0.18952382635441128,0.16023279077472286,0.025632356275773073,0.12108063713341316,0.09969037467571717,0.012728450195180098,0.10476961067843248,0.08128430758906188,0.01888557411731786,0.25752138419370985,0.20390688317120284,0.04020301471398366,0.2840954177924473,0.2187259823073668,0.010421546281280196,0.12442053457837536,0.09949560140162228,0.0038410254067059516
