scenario,run,TreatAll,TreatNone,Oracle,S-Learner,T-Learner,X-Learner,Causal Forest,R-Learner,DR-Learner,CaML-OP
1,0,0.6418405211959199,0.5208064651182448,0.6418405211959199,0.5695840229918957,0.5621547492707627,0.6089512265154242,0.6612929209801323,0.6056160994016471,0.6033602801473127,0.6217998970506682
1,1,0.5550055764522548,0.5153332424932918,0.5550055764522548,0.5372785784829923,0.5411675057876103,0.5341560792135881,0.5787802319938756,0.5261155561630655,0.5759536045281968,0.5418382292421796
1,2,0.5954822078674089,0.4919118695600902,0.5954822078674089,0.5907106546288556,0.578715457053517,0.5927687323304319,0.5746530441450177,0.6156070894128731,0.6066662786639803,0.5734702176673472
1,3,0.6770724642861505,0.40893957226083155,0.6770724642861505,0.6798509712747001,0.6361398656325389,0.6550517821479996,0.6867151804865522,0.5974254551293454,0.5945824252274985,0.6478235398200274
1,4,0.6645479264943626,0.5266942222643844,0.6645479264943626,0.6793651024842736,0.6399044313168384,0.6667761017364245,0.6578050279662596,0.6804463877710716,0.6871510218667995,0.6586972431250575
1,5,0.6068355993555297,0.500465859270823,0.6068355993555297,0.6059273068681146,0.5837811094797548,0.5666610589786943,0.568113705497623,0.5651412517433706,0.5494399619463609,0.6335181225778572
1,6,0.6944107181090444,0.5548831121392822,0.6944107181090444,0.6568669572479777,0.5829656691529358,0.6139606156894067,0.6517679494289532,0.6543841720421204,0.7002807303682649,0.7197158801212582
1,7,0.7252419025371754,0.5968666702841344,0.7252419025371754,0.7346482741523644,0.7235942416160234,0.7058635766690767,0.7260279781925663,0.6985974741610752,0.7323637621672487,0.7015652006533162
1,8,0.6329121434924523,0.5493867029016476,0.6329121434924523,0.6476030459820155,0.6034141502439311,0.6206604833745429,0.6329121434924523,0.6021097611639018,0.6223012984292153,0.589152364247282
1,9,0.5814089333922684,0.41811177447705855,0.5814089333922684,0.48919279413673167,0.4677547549112213,0.4400488667931204,0.4386291407734595,0.4519383516901235,0.4269306982840116,0.36750271874739837
2,0,0.5090889276238492,0.5208064651182448,0.5803069140807519,0.5585469662569615,0.5491854432375342,0.5609211531104946,0.5753343058698613,0.5618554243396225,0.5328841226463595,0.6347272608664495
